interface_id,from_application_id,to_application_id,method,frequency,criticality,middleware_pattern,owning_function,evidence_gap,source_id
INT-HCDN-07881,APP-HCDN-00058,APP-HCDN-00389,FHIR/API,near real-time,high,interface engine,Member Services,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-07882,APP-HCDN-00065,APP-HCDN-00406,X12 EDI,hourly,standard,API gateway,Quality and Stars,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-07883,APP-HCDN-00072,APP-HCDN-00423,SFTP flat file,daily,standard,SFTP hub,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-07884,APP-HCDN-00079,APP-HCDN-00440,database link,weekly,critical,SSIS runtime,Care Management,ambiguous endpoint name,SRC-HCDN-INT-013
INT-HCDN-07885,APP-HCDN-00086,APP-HCDN-00457,SSIS package,monthly,standard,data pipeline orchestrator,Finance,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-07886,APP-HCDN-00093,APP-HCDN-00474,Epic Bridges,event-driven,standard,claims EDI gateway,Coding,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-07887,APP-HCDN-00100,APP-HCDN-00491,event stream,nightly batch,high,FHIR gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-07888,APP-HCDN-00107,APP-HCDN-00508,batch extract,real-time,standard,Epic Bridges,Digital Front Door,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-07889,APP-HCDN-00114,APP-HCDN-00525,vendor API,near real-time,standard,interface engine,Contact Center,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-07890,APP-HCDN-00121,APP-HCDN-00542,HL7 v2,hourly,high,API gateway,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-07891,APP-HCDN-00128,APP-HCDN-00559,FHIR/API,daily,standard,SFTP hub,Emergency Department,retired/active duplicate,SRC-HCDN-INT-020
INT-HCDN-07892,APP-HCDN-00135,APP-HCDN-00576,X12 EDI,weekly,standard,SSIS runtime,Inpatient,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-07893,APP-HCDN-00142,APP-HCDN-00593,SFTP flat file,monthly,critical,data pipeline orchestrator,Surgery,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-07894,APP-HCDN-00149,APP-HCDN-00610,database link,event-driven,standard,claims EDI gateway,Imaging,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-07895,APP-HCDN-00156,APP-HCDN-00627,SSIS package,nightly batch,standard,FHIR gateway,Lab,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-07896,APP-HCDN-00163,APP-HCDN-00644,Epic Bridges,real-time,high,Epic Bridges,Pharmacy,ambiguous endpoint name,SRC-HCDN-INT-025
INT-HCDN-07897,APP-HCDN-00170,APP-HCDN-00661,event stream,near real-time,standard,interface engine,Oncology,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-07898,APP-HCDN-00177,APP-HCDN-00678,batch extract,hourly,standard,API gateway,Cardiology,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-07899,APP-HCDN-00184,APP-HCDN-00695,vendor API,daily,high,SFTP hub,Data and Analytics,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-07900,APP-HCDN-00191,APP-HCDN-00712,HL7 v2,weekly,standard,SSIS runtime,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-07901,APP-HCDN-00198,APP-HCDN-00729,FHIR/API,monthly,standard,data pipeline orchestrator,Actuarial,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-07902,APP-HCDN-00205,APP-HCDN-00746,X12 EDI,event-driven,critical,claims EDI gateway,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-07903,APP-HCDN-00212,APP-HCDN-00763,SFTP flat file,nightly batch,standard,FHIR gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-07904,APP-HCDN-00219,APP-HCDN-00780,database link,real-time,standard,Epic Bridges,Technology,retired/active duplicate,SRC-HCDN-INT-033
INT-HCDN-07905,APP-HCDN-00226,APP-HCDN-00797,SSIS package,near real-time,high,interface engine,Security,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-07906,APP-HCDN-00233,APP-HCDN-00814,Epic Bridges,hourly,standard,API gateway,Procurement,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-07907,APP-HCDN-00240,APP-HCDN-00831,event stream,daily,standard,SFTP hub,HR,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-07908,APP-HCDN-00247,APP-HCDN-00848,batch extract,weekly,high,SSIS runtime,Supply Chain,ambiguous endpoint name,SRC-HCDN-INT-037
INT-HCDN-07909,APP-HCDN-00254,APP-HCDN-00865,vendor API,monthly,standard,data pipeline orchestrator,Privacy,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-07910,APP-HCDN-00261,APP-HCDN-00882,HL7 v2,event-driven,standard,claims EDI gateway,Compliance,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-07911,APP-HCDN-00268,APP-HCDN-00899,FHIR/API,nightly batch,critical,FHIR gateway,Provider Network,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-07912,APP-HCDN-00275,APP-HCDN-00916,X12 EDI,real-time,standard,Epic Bridges,Value-Based Care,source-backed candidate,SRC-HCDN-INT-041
INT-HCDN-07913,APP-HCDN-00282,APP-HCDN-00933,SFTP flat file,near real-time,standard,interface engine,Clinical Operations,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-07914,APP-HCDN-00289,APP-HCDN-00950,database link,hourly,high,API gateway,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-07915,APP-HCDN-00296,APP-HCDN-00967,SSIS package,daily,standard,SFTP hub,Patient Access,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-07916,APP-HCDN-00303,APP-HCDN-00984,Epic Bridges,weekly,standard,SSIS runtime,Interoperability,source-backed candidate,SRC-HCDN-INT-045
INT-HCDN-07917,APP-HCDN-00310,APP-HCDN-01001,event stream,monthly,high,data pipeline orchestrator,Population Health,retired/active duplicate,SRC-HCDN-INT-046
INT-HCDN-07918,APP-HCDN-00317,APP-HCDN-01018,batch extract,event-driven,standard,claims EDI gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-07919,APP-HCDN-00324,APP-HCDN-01035,vendor API,nightly batch,standard,FHIR gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-07920,APP-HCDN-00331,APP-HCDN-01052,HL7 v2,real-time,critical,Epic Bridges,Claims Operations,ambiguous endpoint name,SRC-HCDN-INT-049
INT-HCDN-07921,APP-HCDN-00338,APP-HCDN-01069,FHIR/API,near real-time,standard,interface engine,Utilization Management,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-07922,APP-HCDN-00345,APP-HCDN-01086,X12 EDI,hourly,standard,API gateway,Member Services,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-07923,APP-HCDN-00352,APP-HCDN-01103,SFTP flat file,daily,high,SFTP hub,Quality and Stars,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-07924,APP-HCDN-00359,APP-HCDN-01120,database link,weekly,standard,SSIS runtime,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-053
INT-HCDN-07925,APP-HCDN-00366,APP-HCDN-01137,SSIS package,monthly,standard,data pipeline orchestrator,Care Management,source-backed candidate,SRC-HCDN-INT-054
INT-HCDN-07926,APP-HCDN-00373,APP-HCDN-01154,Epic Bridges,event-driven,high,claims EDI gateway,Finance,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-07927,APP-HCDN-00380,APP-HCDN-01171,event stream,nightly batch,standard,FHIR gateway,Coding,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-07928,APP-HCDN-00387,APP-HCDN-01188,batch extract,real-time,standard,Epic Bridges,Payer Contracting,source-backed candidate,SRC-HCDN-INT-057
INT-HCDN-07929,APP-HCDN-00394,APP-HCDN-01205,vendor API,near real-time,critical,interface engine,Digital Front Door,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-07930,APP-HCDN-00401,APP-HCDN-01222,HL7 v2,hourly,standard,API gateway,Contact Center,retired/active duplicate,SRC-HCDN-INT-059
INT-HCDN-07931,APP-HCDN-00408,APP-HCDN-01239,FHIR/API,daily,standard,SFTP hub,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-060
INT-HCDN-07932,APP-HCDN-00415,APP-HCDN-01256,X12 EDI,weekly,high,SSIS runtime,Emergency Department,ambiguous endpoint name,SRC-HCDN-INT-061
INT-HCDN-07933,APP-HCDN-00422,APP-HCDN-01273,SFTP flat file,monthly,standard,data pipeline orchestrator,Inpatient,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-07934,APP-HCDN-00429,APP-HCDN-01290,database link,event-driven,standard,claims EDI gateway,Surgery,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-07935,APP-HCDN-00436,APP-HCDN-01307,SSIS package,nightly batch,high,FHIR gateway,Imaging,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-07936,APP-HCDN-00443,APP-HCDN-01324,Epic Bridges,real-time,standard,Epic Bridges,Lab,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-07937,APP-HCDN-00450,APP-HCDN-01341,event stream,near real-time,standard,interface engine,Pharmacy,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-07938,APP-HCDN-00457,APP-HCDN-01358,batch extract,hourly,critical,API gateway,Oncology,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-07939,APP-HCDN-00464,APP-HCDN-01375,vendor API,daily,standard,SFTP hub,Cardiology,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-07940,APP-HCDN-00471,APP-HCDN-01392,HL7 v2,weekly,standard,SSIS runtime,Data and Analytics,source-backed candidate,SRC-HCDN-INT-005
INT-HCDN-07941,APP-HCDN-00478,APP-HCDN-01409,FHIR/API,monthly,high,data pipeline orchestrator,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-07942,APP-HCDN-00485,APP-HCDN-01426,X12 EDI,event-driven,standard,claims EDI gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-07943,APP-HCDN-00492,APP-HCDN-01443,SFTP flat file,nightly batch,standard,FHIR gateway,Departmental Reporting,retired/active duplicate,SRC-HCDN-INT-008
INT-HCDN-07944,APP-HCDN-00499,APP-HCDN-01460,database link,real-time,high,Epic Bridges,AI Transformation,ambiguous endpoint name,SRC-HCDN-INT-009
INT-HCDN-07945,APP-HCDN-00506,APP-HCDN-01477,SSIS package,near real-time,standard,interface engine,Technology,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-07946,APP-HCDN-00513,APP-HCDN-01494,Epic Bridges,hourly,standard,API gateway,Security,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-07947,APP-HCDN-00520,APP-HCDN-01511,event stream,daily,critical,SFTP hub,Procurement,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-07948,APP-HCDN-00527,APP-HCDN-01528,batch extract,weekly,standard,SSIS runtime,HR,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-07949,APP-HCDN-00534,APP-HCDN-01545,vendor API,monthly,standard,data pipeline orchestrator,Supply Chain,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-07950,APP-HCDN-00541,APP-HCDN-01562,HL7 v2,event-driven,high,claims EDI gateway,Privacy,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-07951,APP-HCDN-00548,APP-HCDN-01579,FHIR/API,nightly batch,standard,FHIR gateway,Compliance,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-07952,APP-HCDN-00555,APP-HCDN-01596,X12 EDI,real-time,standard,Epic Bridges,Provider Network,source-backed candidate,SRC-HCDN-INT-017
INT-HCDN-07953,APP-HCDN-00562,APP-HCDN-01613,SFTP flat file,near real-time,high,interface engine,Value-Based Care,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-07954,APP-HCDN-00569,APP-HCDN-01630,database link,hourly,standard,API gateway,Clinical Operations,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-07955,APP-HCDN-00576,APP-HCDN-01647,SSIS package,daily,standard,SFTP hub,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-07956,APP-HCDN-00583,APP-HCDN-01664,Epic Bridges,weekly,critical,SSIS runtime,Patient Access,ambiguous endpoint name,SRC-HCDN-INT-021
INT-HCDN-07957,APP-HCDN-00590,APP-HCDN-00011,event stream,monthly,standard,data pipeline orchestrator,Interoperability,source-backed candidate,SRC-HCDN-INT-022
INT-HCDN-07958,APP-HCDN-00597,APP-HCDN-00028,batch extract,event-driven,standard,claims EDI gateway,Population Health,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-07959,APP-HCDN-00604,APP-HCDN-00045,vendor API,nightly batch,high,FHIR gateway,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-07960,APP-HCDN-00611,APP-HCDN-00062,HL7 v2,real-time,standard,Epic Bridges,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-07961,APP-HCDN-00618,APP-HCDN-00079,FHIR/API,near real-time,standard,interface engine,Claims Operations,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-07962,APP-HCDN-00625,APP-HCDN-00096,X12 EDI,hourly,high,API gateway,Utilization Management,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-07963,APP-HCDN-00632,APP-HCDN-00113,SFTP flat file,daily,standard,SFTP hub,Member Services,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-07964,APP-HCDN-00639,APP-HCDN-00130,database link,weekly,standard,SSIS runtime,Quality and Stars,source-backed candidate,SRC-HCDN-INT-029
INT-HCDN-07965,APP-HCDN-00646,APP-HCDN-00147,SSIS package,monthly,critical,data pipeline orchestrator,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-07966,APP-HCDN-00653,APP-HCDN-00164,Epic Bridges,event-driven,standard,claims EDI gateway,Care Management,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-07967,APP-HCDN-00660,APP-HCDN-00181,event stream,nightly batch,standard,FHIR gateway,Finance,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-07968,APP-HCDN-00667,APP-HCDN-00198,batch extract,real-time,high,Epic Bridges,Coding,ambiguous endpoint name,SRC-HCDN-INT-033
INT-HCDN-07969,APP-HCDN-00674,APP-HCDN-00215,vendor API,near real-time,standard,interface engine,Payer Contracting,retired/active duplicate,SRC-HCDN-INT-034
INT-HCDN-07970,APP-HCDN-00681,APP-HCDN-00232,HL7 v2,hourly,standard,API gateway,Digital Front Door,source-backed candidate,SRC-HCDN-INT-035
INT-HCDN-07971,APP-HCDN-00688,APP-HCDN-00249,FHIR/API,daily,high,SFTP hub,Contact Center,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-07972,APP-HCDN-00695,APP-HCDN-00266,X12 EDI,weekly,standard,SSIS runtime,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-07973,APP-HCDN-00702,APP-HCDN-00283,SFTP flat file,monthly,standard,data pipeline orchestrator,Emergency Department,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-07974,APP-HCDN-00709,APP-HCDN-00300,database link,event-driven,critical,claims EDI gateway,Inpatient,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-07975,APP-HCDN-00716,APP-HCDN-00317,SSIS package,nightly batch,standard,FHIR gateway,Surgery,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-07976,APP-HCDN-00723,APP-HCDN-00334,Epic Bridges,real-time,standard,Epic Bridges,Imaging,source-backed candidate,SRC-HCDN-INT-041
INT-HCDN-07977,APP-HCDN-00730,APP-HCDN-00351,event stream,near real-time,high,interface engine,Lab,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-07978,APP-HCDN-00737,APP-HCDN-00368,batch extract,hourly,standard,API gateway,Pharmacy,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-07979,APP-HCDN-00744,APP-HCDN-00385,vendor API,daily,standard,SFTP hub,Oncology,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-07980,APP-HCDN-00751,APP-HCDN-00402,HL7 v2,weekly,high,SSIS runtime,Cardiology,ambiguous endpoint name,SRC-HCDN-INT-045
INT-HCDN-07981,APP-HCDN-00758,APP-HCDN-00419,FHIR/API,monthly,standard,data pipeline orchestrator,Data and Analytics,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-07982,APP-HCDN-00765,APP-HCDN-00436,X12 EDI,event-driven,standard,claims EDI gateway,Clinical Analytics,retired/active duplicate,SRC-HCDN-INT-047
INT-HCDN-07983,APP-HCDN-00772,APP-HCDN-00453,SFTP flat file,nightly batch,critical,FHIR gateway,Actuarial,source-backed candidate,SRC-HCDN-INT-048
INT-HCDN-07984,APP-HCDN-00779,APP-HCDN-00470,database link,real-time,standard,Epic Bridges,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-07985,APP-HCDN-00786,APP-HCDN-00487,SSIS package,near real-time,standard,interface engine,AI Transformation,source-backed candidate,SRC-HCDN-INT-050
INT-HCDN-07986,APP-HCDN-00793,APP-HCDN-00504,Epic Bridges,hourly,high,API gateway,Technology,source-backed candidate,SRC-HCDN-INT-051
INT-HCDN-07987,APP-HCDN-00800,APP-HCDN-00521,event stream,daily,standard,SFTP hub,Security,source-backed candidate,SRC-HCDN-INT-052
INT-HCDN-07988,APP-HCDN-00807,APP-HCDN-00538,batch extract,weekly,standard,SSIS runtime,Procurement,source-backed candidate,SRC-HCDN-INT-053
INT-HCDN-07989,APP-HCDN-00814,APP-HCDN-00555,vendor API,monthly,high,data pipeline orchestrator,HR,source-backed candidate,SRC-HCDN-INT-054
INT-HCDN-07990,APP-HCDN-00821,APP-HCDN-00572,HL7 v2,event-driven,standard,claims EDI gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-055
INT-HCDN-07991,APP-HCDN-00828,APP-HCDN-00589,FHIR/API,nightly batch,standard,FHIR gateway,Privacy,source-backed candidate,SRC-HCDN-INT-056
INT-HCDN-07992,APP-HCDN-00835,APP-HCDN-00606,X12 EDI,real-time,critical,Epic Bridges,Compliance,ambiguous endpoint name,SRC-HCDN-INT-057
INT-HCDN-07993,APP-HCDN-00842,APP-HCDN-00623,SFTP flat file,near real-time,standard,interface engine,Provider Network,source-backed candidate,SRC-HCDN-INT-058
INT-HCDN-07994,APP-HCDN-00849,APP-HCDN-00640,database link,hourly,standard,API gateway,Value-Based Care,source-backed candidate,SRC-HCDN-INT-059
INT-HCDN-07995,APP-HCDN-00856,APP-HCDN-00657,SSIS package,daily,high,SFTP hub,Clinical Operations,retired/active duplicate,SRC-HCDN-INT-060
INT-HCDN-07996,APP-HCDN-00863,APP-HCDN-00674,Epic Bridges,weekly,standard,SSIS runtime,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-061
INT-HCDN-07997,APP-HCDN-00870,APP-HCDN-00691,event stream,monthly,standard,data pipeline orchestrator,Patient Access,source-backed candidate,SRC-HCDN-INT-062
INT-HCDN-07998,APP-HCDN-00877,APP-HCDN-00708,batch extract,event-driven,high,claims EDI gateway,Interoperability,source-backed candidate,SRC-HCDN-INT-063
INT-HCDN-07999,APP-HCDN-00884,APP-HCDN-00725,vendor API,nightly batch,standard,FHIR gateway,Population Health,source-backed candidate,SRC-HCDN-INT-064
INT-HCDN-08000,APP-HCDN-00891,APP-HCDN-00742,HL7 v2,real-time,standard,Epic Bridges,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-001
INT-HCDN-08001,APP-HCDN-00898,APP-HCDN-00759,FHIR/API,near real-time,critical,interface engine,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-002
INT-HCDN-08002,APP-HCDN-00905,APP-HCDN-00776,X12 EDI,hourly,standard,API gateway,Claims Operations,source-backed candidate,SRC-HCDN-INT-003
INT-HCDN-08003,APP-HCDN-00912,APP-HCDN-00793,SFTP flat file,daily,standard,SFTP hub,Utilization Management,source-backed candidate,SRC-HCDN-INT-004
INT-HCDN-08004,APP-HCDN-00919,APP-HCDN-00810,database link,weekly,high,SSIS runtime,Member Services,ambiguous endpoint name,SRC-HCDN-INT-005
INT-HCDN-08005,APP-HCDN-00926,APP-HCDN-00827,SSIS package,monthly,standard,data pipeline orchestrator,Quality and Stars,source-backed candidate,SRC-HCDN-INT-006
INT-HCDN-08006,APP-HCDN-00933,APP-HCDN-00844,Epic Bridges,event-driven,standard,claims EDI gateway,Risk Adjustment,source-backed candidate,SRC-HCDN-INT-007
INT-HCDN-08007,APP-HCDN-00940,APP-HCDN-00861,event stream,nightly batch,high,FHIR gateway,Care Management,source-backed candidate,SRC-HCDN-INT-008
INT-HCDN-08008,APP-HCDN-00947,APP-HCDN-00878,batch extract,real-time,standard,Epic Bridges,Finance,retired/active duplicate,SRC-HCDN-INT-009
INT-HCDN-08009,APP-HCDN-00954,APP-HCDN-00895,vendor API,near real-time,standard,interface engine,Coding,source-backed candidate,SRC-HCDN-INT-010
INT-HCDN-08010,APP-HCDN-00961,APP-HCDN-00912,HL7 v2,hourly,critical,API gateway,Payer Contracting,source-backed candidate,SRC-HCDN-INT-011
INT-HCDN-08011,APP-HCDN-00968,APP-HCDN-00929,FHIR/API,daily,standard,SFTP hub,Digital Front Door,source-backed candidate,SRC-HCDN-INT-012
INT-HCDN-08012,APP-HCDN-00975,APP-HCDN-00946,X12 EDI,weekly,standard,SSIS runtime,Contact Center,source-backed candidate,SRC-HCDN-INT-013
INT-HCDN-08013,APP-HCDN-00982,APP-HCDN-00963,SFTP flat file,monthly,high,data pipeline orchestrator,Ambulatory Care,source-backed candidate,SRC-HCDN-INT-014
INT-HCDN-08014,APP-HCDN-00989,APP-HCDN-00980,database link,event-driven,standard,claims EDI gateway,Emergency Department,source-backed candidate,SRC-HCDN-INT-015
INT-HCDN-08015,APP-HCDN-00996,APP-HCDN-00997,SSIS package,nightly batch,standard,FHIR gateway,Inpatient,source-backed candidate,SRC-HCDN-INT-016
INT-HCDN-08016,APP-HCDN-01003,APP-HCDN-01014,Epic Bridges,real-time,high,Epic Bridges,Surgery,ambiguous endpoint name,SRC-HCDN-INT-017
INT-HCDN-08017,APP-HCDN-01010,APP-HCDN-01031,event stream,near real-time,standard,interface engine,Imaging,source-backed candidate,SRC-HCDN-INT-018
INT-HCDN-08018,APP-HCDN-01017,APP-HCDN-01048,batch extract,hourly,standard,API gateway,Lab,source-backed candidate,SRC-HCDN-INT-019
INT-HCDN-08019,APP-HCDN-01024,APP-HCDN-01065,vendor API,daily,critical,SFTP hub,Pharmacy,source-backed candidate,SRC-HCDN-INT-020
INT-HCDN-08020,APP-HCDN-01031,APP-HCDN-01082,HL7 v2,weekly,standard,SSIS runtime,Oncology,source-backed candidate,SRC-HCDN-INT-021
INT-HCDN-08021,APP-HCDN-01038,APP-HCDN-01099,FHIR/API,monthly,standard,data pipeline orchestrator,Cardiology,retired/active duplicate,SRC-HCDN-INT-022
INT-HCDN-08022,APP-HCDN-01045,APP-HCDN-01116,X12 EDI,event-driven,high,claims EDI gateway,Data and Analytics,source-backed candidate,SRC-HCDN-INT-023
INT-HCDN-08023,APP-HCDN-01052,APP-HCDN-01133,SFTP flat file,nightly batch,standard,FHIR gateway,Clinical Analytics,source-backed candidate,SRC-HCDN-INT-024
INT-HCDN-08024,APP-HCDN-01059,APP-HCDN-01150,database link,real-time,standard,Epic Bridges,Actuarial,source-backed candidate,SRC-HCDN-INT-025
INT-HCDN-08025,APP-HCDN-01066,APP-HCDN-01167,SSIS package,near real-time,high,interface engine,Departmental Reporting,source-backed candidate,SRC-HCDN-INT-026
INT-HCDN-08026,APP-HCDN-01073,APP-HCDN-01184,Epic Bridges,hourly,standard,API gateway,AI Transformation,source-backed candidate,SRC-HCDN-INT-027
INT-HCDN-08027,APP-HCDN-01080,APP-HCDN-01201,event stream,daily,standard,SFTP hub,Technology,source-backed candidate,SRC-HCDN-INT-028
INT-HCDN-08028,APP-HCDN-01087,APP-HCDN-01218,batch extract,weekly,critical,SSIS runtime,Security,ambiguous endpoint name,SRC-HCDN-INT-029
INT-HCDN-08029,APP-HCDN-01094,APP-HCDN-01235,vendor API,monthly,standard,data pipeline orchestrator,Procurement,source-backed candidate,SRC-HCDN-INT-030
INT-HCDN-08030,APP-HCDN-01101,APP-HCDN-01252,HL7 v2,event-driven,standard,claims EDI gateway,HR,source-backed candidate,SRC-HCDN-INT-031
INT-HCDN-08031,APP-HCDN-01108,APP-HCDN-01269,FHIR/API,nightly batch,high,FHIR gateway,Supply Chain,source-backed candidate,SRC-HCDN-INT-032
INT-HCDN-08032,APP-HCDN-01115,APP-HCDN-01286,X12 EDI,real-time,standard,Epic Bridges,Privacy,source-backed candidate,SRC-HCDN-INT-033
INT-HCDN-08033,APP-HCDN-01122,APP-HCDN-01303,SFTP flat file,near real-time,standard,interface engine,Compliance,source-backed candidate,SRC-HCDN-INT-034
INT-HCDN-08034,APP-HCDN-01129,APP-HCDN-01320,database link,hourly,high,API gateway,Provider Network,retired/active duplicate,SRC-HCDN-INT-035
INT-HCDN-08035,APP-HCDN-01136,APP-HCDN-01337,SSIS package,daily,standard,SFTP hub,Value-Based Care,source-backed candidate,SRC-HCDN-INT-036
INT-HCDN-08036,APP-HCDN-01143,APP-HCDN-01354,Epic Bridges,weekly,standard,SSIS runtime,Clinical Operations,source-backed candidate,SRC-HCDN-INT-037
INT-HCDN-08037,APP-HCDN-01150,APP-HCDN-01371,event stream,monthly,critical,data pipeline orchestrator,Revenue Cycle,source-backed candidate,SRC-HCDN-INT-038
INT-HCDN-08038,APP-HCDN-01157,APP-HCDN-01388,batch extract,event-driven,standard,claims EDI gateway,Patient Access,source-backed candidate,SRC-HCDN-INT-039
INT-HCDN-08039,APP-HCDN-01164,APP-HCDN-01405,vendor API,nightly batch,standard,FHIR gateway,Interoperability,source-backed candidate,SRC-HCDN-INT-040
INT-HCDN-08040,APP-HCDN-01171,APP-HCDN-01422,HL7 v2,real-time,high,Epic Bridges,Population Health,ambiguous endpoint name,SRC-HCDN-INT-041
INT-HCDN-08041,APP-HCDN-01178,APP-HCDN-01439,FHIR/API,near real-time,standard,interface engine,Health Plan Operations,source-backed candidate,SRC-HCDN-INT-042
INT-HCDN-08042,APP-HCDN-01185,APP-HCDN-01456,X12 EDI,hourly,standard,API gateway,Medicare Advantage,source-backed candidate,SRC-HCDN-INT-043
INT-HCDN-08043,APP-HCDN-01192,APP-HCDN-01473,SFTP flat file,daily,high,SFTP hub,Claims Operations,source-backed candidate,SRC-HCDN-INT-044
INT-HCDN-08044,APP-HCDN-01199,APP-HCDN-01490,database link,weekly,standard,SSIS runtime,Utilization Management,source-backed candidate,SRC-HCDN-INT-045
INT-HCDN-08045,APP-HCDN-01206,APP-HCDN-01507,SSIS package,monthly,standard,data pipeline orchestrator,Member Services,source-backed candidate,SRC-HCDN-INT-046
INT-HCDN-08046,APP-HCDN-01213,APP-HCDN-01524,Epic Bridges,event-driven,critical,claims EDI gateway,Quality and Stars,source-backed candidate,SRC-HCDN-INT-047
INT-HCDN-08047,APP-HCDN-01220,APP-HCDN-01541,event stream,nightly batch,standard,FHIR gateway,Risk Adjustment,retired/active duplicate,SRC-HCDN-INT-048
INT-HCDN-08048,APP-HCDN-01227,APP-HCDN-01558,batch extract,real-time,standard,Epic Bridges,Care Management,source-backed candidate,SRC-HCDN-INT-049
INT-HCDN-08049,APP-HCDN-01234,APP-HCDN-01575,vendor API,near real-time,high,interface engine,Finance,source-backed candidate,SRC-HCDN-INT-050
